epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1282.11,1.28807,0.87246,1.0266,0.59991,0.61954,0.61008,0.27626,1.89637,1.29292,1.4651,0.000363239,0.000363239,0.000363239
81,1297.83,1.26896,0.84064,1.01039,0.63584,0.64819,0.62832,0.29255,1.92267,1.28809,1.4779,0.000346736,0.000346736,0.000346736
82,1313.6,1.26588,0.85088,1.0145,0.6335,0.58456,0.59967,0.2822,1.88869,1.29712,1.47133,0.000330233,0.000330233,0.000330233
83,1329.47,1.27639,0.84646,1.0176,0.58765,0.65711,0.6163,0.28135,1.87865,1.28984,1.45378,0.000313729,0.000313729,0.000313729
84,1345.24,1.25106,0.83796,1.0136,0.64726,0.63587,0.61232,0.27802,1.8746,1.26814,1.48163,0.000297226,0.000297226,0.000297226
85,1361.19,1.2443,0.83433,1.01229,0.6623,0.53472,0.58775,0.25362,1.94006,1.39013,1.47974,0.000280723,0.000280723,0.000280723
86,1376.99,1.23978,0.82365,1.0092,0.63155,0.63682,0.62264,0.28205,1.89116,1.31876,1.44191,0.00026422,0.00026422,0.00026422
87,1392.89,1.23727,0.82319,1.00617,0.62993,0.63125,0.61951,0.27476,1.90837,1.32608,1.4539,0.000247716,0.000247716,0.000247716
88,1408.65,1.23454,0.81145,1.00406,0.63362,0.64366,0.62708,0.28792,1.85905,1.23871,1.45072,0.000231213,0.000231213,0.000231213
89,1424.45,1.23757,0.82079,1.00437,0.60243,0.69249,0.63879,0.29526,1.84256,1.22965,1.45777,0.00021471,0.00021471,0.00021471
90,1440.25,1.2269,0.81334,1.00437,0.58118,0.51199,0.52515,0.23698,1.99301,1.37459,1.54117,0.000198206,0.000198206,0.000198206
91,1458.46,1.19664,0.77648,1.03333,0.63296,0.59368,0.59217,0.2856,1.89758,1.27516,1.47259,0.000181703,0.000181703,0.000181703
92,1474.39,1.18179,0.76104,1.02469,0.60636,0.6604,0.60865,0.27859,1.92774,1.28022,1.52403,0.0001652,0.0001652,0.0001652
93,1490.15,1.17424,0.75904,1.02035,0.63364,0.55217,0.5635,0.2513,1.96768,1.38192,1.50747,0.000148696,0.000148696,0.000148696
94,1505.85,1.16642,0.74689,1.01918,0.57368,0.56214,0.54044,0.2462,2.00403,1.36968,1.53075,0.000132193,0.000132193,0.000132193
95,1521.73,1.15054,0.73963,1.01358,0.64731,0.61166,0.61324,0.27271,1.93618,1.32349,1.48953,0.00011569,0.00011569,0.00011569
96,1537.42,1.15061,0.73992,1.01052,0.66238,0.60717,0.61967,0.28032,1.89734,1.28985,1.47183,9.91865e-05,9.91865e-05,9.91865e-05
97,1553.28,1.13538,0.72463,1.00336,0.63262,0.6374,0.61432,0.28251,1.8848,1.29071,1.48023,8.26832e-05,8.26832e-05,8.26832e-05
98,1569.08,1.12446,0.72466,1.00446,0.65196,0.60268,0.60604,0.27979,1.91413,1.2928,1.50666,6.61799e-05,6.61799e-05,6.61799e-05
99,1584.92,1.11945,0.71367,1.00092,0.67593,0.60115,0.61015,0.27685,1.92052,1.31638,1.50458,4.96766e-05,4.96766e-05,4.96766e-05
100,1600.68,1.12017,0.72218,0.9966,0.66515,0.6057,0.60774,0.27644,1.91699,1.31363,1.50518,3.31733e-05,3.31733e-05,3.31733e-05
