epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,497.155,1.49182,0.98987,1.16481,0.60449,0.62706,0.59916,0.27782,1.93303,1.27125,1.45002,0.000390745,0.000390745,0.000390745
60,505.529,1.48294,0.97634,1.18885,0.58625,0.56147,0.54354,0.25128,2.08883,1.34764,1.53349,0.00036874,0.00036874,0.00036874
61,513.852,1.49387,0.9673,1.17303,0.61694,0.63689,0.60861,0.27673,1.95538,1.2332,1.47504,0.000346736,0.000346736,0.000346736
62,522.209,1.485,0.95939,1.15538,0.62706,0.69928,0.61629,0.27691,1.896,1.24072,1.45066,0.000324732,0.000324732,0.000324732
63,530.521,1.48875,0.9641,1.16255,0.64432,0.66329,0.632,0.29235,1.82676,1.24352,1.40287,0.000302727,0.000302727,0.000302727
64,538.824,1.44669,0.9338,1.18185,0.62072,0.58896,0.56753,0.25807,1.93501,1.2765,1.45219,0.000280723,0.000280723,0.000280723
65,547.107,1.43227,0.93191,1.15535,0.60648,0.58533,0.54323,0.24135,2.04501,1.2972,1.52499,0.000258718,0.000258718,0.000258718
66,557.082,1.44041,0.88621,1.2146,0.62101,0.64093,0.60967,0.28351,1.89866,1.25487,1.46011,0.000236714,0.000236714,0.000236714
67,565.479,1.43821,0.86309,1.25787,0.66026,0.6255,0.61056,0.2783,1.91373,1.24673,1.46477,0.00021471,0.00021471,0.00021471
68,573.648,1.39975,0.85722,1.18346,0.61718,0.67246,0.62371,0.28688,1.86222,1.24166,1.44269,0.000192705,0.000192705,0.000192705
69,581.859,1.39191,0.86373,1.20868,0.63709,0.68841,0.63582,0.2939,1.85731,1.2342,1.45735,0.000170701,0.000170701,0.000170701
70,590.09,1.36519,0.83574,1.18697,0.64594,0.66388,0.62482,0.29269,1.89051,1.23439,1.45411,0.000148696,0.000148696,0.000148696
71,598.306,1.35112,0.84257,1.18349,0.65146,0.67691,0.6181,0.27911,1.90719,1.22601,1.46043,0.000126692,0.000126692,0.000126692
72,606.484,1.36226,0.8316,1.19202,0.59952,0.69131,0.60711,0.2822,1.91581,1.23113,1.45942,0.000104688,0.000104688,0.000104688
73,614.716,1.31724,0.816,1.17265,0.60937,0.65585,0.59635,0.27663,1.9009,1.2343,1.44025,8.26832e-05,8.26832e-05,8.26832e-05
74,622.989,1.28735,0.78895,1.14389,0.62529,0.66029,0.60434,0.28477,1.88228,1.23842,1.44103,6.06788e-05,6.06788e-05,6.06788e-05
75,631.193,1.31751,0.79229,1.15691,0.63241,0.65566,0.60212,0.27633,1.89659,1.25426,1.44644,3.86744e-05,3.86744e-05,3.86744e-05
